Calories,Energy,Food List,Visits,Total Reward
0,0,[],1000,307743.0
62.0,260.0,['Alphabet Soup'],3,882.0
7.0,31.0,['Beef Bouillon'],2,621.0
83.0,349.0,['Beef Noodle Soup'],3,927.0
70.0,296.0,['Beef Soup'],2,636.0
39.0,163.0,['Bouillon'],4,1231.0
69.0,289.0,['Cabbage Soup'],4,1254.0
95.0,400.0,['Carrot Ginger Soup'],5,1525.0
95.0,400.0,['Carrot Soup'],3,915.0
10.0,41.0,['Chicken Bouillon'],4,1218.0
39.0,163.0,['Chicken Broth'],7,2107.0
56.0,237.0,['Chicken Gumbo Soup'],2,610.0
62.0,260.0,['Chicken Noodle Soup'],1,290.0
39.0,163.0,['Chicken Stock'],4,1244.0
77.0,322.0,['Chicken Vegetable Soup'],4,1232.0
58.0,245.0,['Chicken with Rice Soup'],3,948.0
85.0,359.0,['Cream of Asparagus Soup'],8,2476.0
92.0,384.0,['Cream of Celery Soup'],2,632.0
97.0,407.0,['Cream of Mushroom Soup'],5,1550.0
73.0,307.0,['Cream of Potato Soup'],4,1187.0
56.0,238.0,['Creamy Chicken Noodle Soup'],3,933.0
56.0,236.0,['French Onion Soup'],2,618.0
82.0,345.0,['Minestrone'],2,618.0
85.0,359.0,['Mushroom Soup'],2,616.0
83.0,349.0,['Noodle Soup'],1,303.0
56.0,236.0,['Onion Soup'],2,613.0
68.0,288.0,['Oxtail Soup'],4,1254.0
71.0,299.0,['Pumpkin Soup'],4,1280.0
80.0,335.0,['Scotch Broth'],2,632.0
74.0,312.0,['Tomato Soup'],1,306.0
76.0,317.0,['Vegetable Beef Soup'],4,1215.0
12.0,49.0,['Vegetable Broth'],2,618.0
67.0,284.0,['Vegetable Soup'],3,927.0
12.0,49.0,['Vegetable Stock'],2,632.0
