,food_category,food_name,per_serving,cal_per_serving,kj_per_serving
308,Cereal Products,Amaranth,1 cup (193 g),716.0,3007.0
309,Cereal Products,Barley,1 cup (157 g),556.0,2335.0
310,Cereal Products,Barley Groats,1 cup (31 g),31.0,130.0
311,Cereal Products,Brown Rice,1 cup (195 g),757.0,3179.0
312,Cereal Products,Buckwheat,1 cup (170 g),583.0,2450.0
313,Cereal Products,Buckwheat Groats,1 cup (164 g),567.0,2383.0
314,Cereal Products,Corn Waffles,1 waffle (40 g),110.0,460.0
315,Cereal Products,Cornmeal,1 cup (122 g),442.0,1854.0
316,Cereal Products,Cornstarch,1 cup (128 g),488.0,2048.0
317,Cereal Products,Couscous,1 cup (173 g),650.0,2732.0
318,Cereal Products,Cracker,1 cracker (7 g),35.0,148.0
319,Cereal Products,Durum Wheat Semolina,1 tbsp (30 g),119.0,500.0
320,Cereal Products,Flaxseed,1 cup (168 g),897.0,3768.0
321,Cereal Products,Freekeh,1 cup (160 g),832.0,3494.0
322,Cereal Products,Gluten,1 oz. (28 g),104.0,435.0
323,Cereal Products,Grissini,1 grissini (5 g),20.0,86.0
324,Cereal Products,Kamut,1 cup (186 g),627.0,2632.0
325,Cereal Products,Millet,1 cup (128 g),484.0,2033.0
326,Cereal Products,Millet Flour,1 cup (140 g),521.0,2187.0
327,Cereal Products,Millet Gruel,1 cup (174 g),80.0,336.0
328,Cereal Products,Oat Bran,1 cup  (94 g),231.0,971.0
329,Cereal Products,Pearl Barley,1 cup (157 g),553.0,2320.0
330,Cereal Products,Polenta,1 cup (150 g),549.0,2306.0
331,Cereal Products,Prawn Crackers,1 cracker (3 g),16.0,66.0
332,Cereal Products,Pretzel Sticks,20 sticks (12 g),46.0,192.0
333,Cereal Products,Quinoa,1 cup (170 g),626.0,2628.0
334,Cereal Products,Rusk,1 rusk (10 g),41.0,172.0
335,Cereal Products,Rye Bran,1 cup (150 g),422.0,1770.0
336,Cereal Products,Sago,1 oz. (28 g),99.0,416.0
337,Cereal Products,Savoury Biscuits,40 grams (40 g),139.0,583.0
338,Cereal Products,Shortbread,1 cookie (19 g),95.0,401.0
339,Cereal Products,Spelt,1 cup (174 g),588.0,2471.0
340,Cereal Products,Spelt Bran,1 cup (160 g),283.0,1189.0
341,Cereal Products,Spelt Semolina,1 cup (167 g),601.0,2525.0
342,Cereal Products,Sunflower Seeds,1 cup (140 g),818.0,3434.0
343,Cereal Products,Tortilla,1 tortilla (197 g),467.0,1960.0
344,Cereal Products,Tortilla Chips,20 chips (32 g),160.0,671.0
345,Cereal Products,Wheat Bran,1 cup (58 g),125.0,526.0
346,Cereal Products,Wheat Germ,1 cup (113 g),432.0,1813.0
347,Cereal Products,Wheat Gluten,1 tsp (3 g),10.0,41.0
348,Cereal Products,Wheat Semolina,1 cup (167 g),601.0,2525.0
349,Cereal Products,Wheat Starch,1 cup (110 g),386.0,1621.0
350,Cereal Products,Whole Grain Wheat,1 cup (120 g),407.0,1709.0
351,Cereal Products,Wholegrain Oat,1 cup (80 g),300.0,1260.0
387,Dishes & Meals,Baby Back Ribs,1 serving (139 g),360.0,1512.0
388,Dishes & Meals,Bacon and Eggs,1 serving (214 g),539.0,2264.0
389,Dishes & Meals,Baked Beans,1 cup (260 g),244.0,1027.0
390,Dishes & Meals,Baked Chicken,1 breast (172 g),282.0,1185.0
391,Dishes & Meals,BBQ Ribs,1 rib (141 g),360.0,1510.0
392,Dishes & Meals,Beef Stew,1 cup (196 g),186.0,782.0
393,Dishes & Meals,Biryani,1 cup (275 g),484.0,2032.0
394,Dishes & Meals,Black Pudding,1 pudding (40 g),101.0,425.0
395,Dishes & Meals,Black Rice,1/2 cup (100 g),323.0,1357.0
396,Dishes & Meals,BLT,1 item (240 g),593.0,2489.0
397,Dishes & Meals,Brown Rice,1 cup (185 g),670.0,2812.0
398,Dishes & Meals,Burrito,1 burrito (200 g),326.0,1370.0
399,Dishes & Meals,Butter Chicken,1 tray (350 g),490.0,2058.0
400,Dishes & Meals,California Roll,1 roll (35 g),33.0,137.0
401,Dishes & Meals,Chicken Caesar Salad,1 salad (309 g),392.0,1647.0
402,Dishes & Meals,Chicken Fried Steak,1 steak  (280 g),423.0,1775.0
403,Dishes & Meals,Chicken Marsala,1 serving (2301 g),2209.0,9273.0
404,Dishes & Meals,Chicken Parmesan,1 piece (227 g),250.0,1049.0
405,Dishes & Meals,Chicken Pot Pie,1 pie (302 g),673.0,2830.0
406,Dishes & Meals,Chicken Tikka Masala,1 serving (241 g),195.0,819.0
407,Dishes & Meals,Chili con Carne,1 cup (253 g),266.0,1116.0
408,Dishes & Meals,Chimichanga,1 item (180 g),418.0,1753.0
409,Dishes & Meals,Cobb Salad,1 serving (536 g),632.0,2659.0
410,Dishes & Meals,Collard Greens,1 cup (45 g),13.0,53.0
411,Dishes & Meals,Corn Dog,1 item (175 g),438.0,1838.0
412,Dishes & Meals,Corned Beef Hash,1 can (213 g),349.0,1468.0
413,Dishes & Meals,Cottage Pie,1 pie (376 g),523.0,2196.0
414,Dishes & Meals,Dal,1/2 cup (92 g),304.0,1275.0
415,Dishes & Meals,Deviled Eggs,1/2 egg (31 g),62.0,262.0
416,Dishes & Meals,Dim Sum,1 piece (19 g),37.0,154.0
417,Dishes & Meals,Dosa,1 serving (435 g),287.0,1205.0
418,Dishes & Meals,Enchiladas,1 enchilada (192 g),323.0,1356.0
419,Dishes & Meals,Fajita,1 serving (248 g),290.0,1218.0
420,Dishes & Meals,Fish and Chips,1 serving (300 g),585.0,2457.0
421,Dishes & Meals,Fried Rice,1 serving (356 g),662.0,2780.0
422,Dishes & Meals,Fried Shrimp,1 shrimp (27 g),75.0,314.0
423,Dishes & Meals,Grilled Cheese Sandwich,1 sandwich (136 g),392.0,1646.0
424,Dishes & Meals,Ham and Cheese Sandwich,1 sandwich (146 g),352.0,1478.0
425,Dishes & Meals,Hummus,1 cup (246 g),435.0,1828.0
426,Dishes & Meals,Jambalaya,1 cup (250 g),250.0,1050.0
427,Dishes & Meals,Kebab,1 kebab (360 g),774.0,3251.0
