food_category,food_name,per_serving,cal_per_serving,kj_per_serving
Fruit Juices,Chamomile Tea,8 fl. oz. (240 ml),0.0,0.0
Baking Ingredients,Baking Soda,1 tsp (4.6 g),0.0,0.0
Baking Ingredients,Peppermint Extract,1 tsp (5 ml),0.0,0.0
Herbs & Spices,Basil,1 tsp (0.7 g),0.0,0.0
Herbs & Spices,Cress,1 sprig (1 g),0.0,1.0
Herbs & Spices,Dill,5 sprigs (1 g),0.0,2.0
Herbs & Spices,Dill Weed,5 sprigs (1 g),0.0,2.0
Herbs & Spices,Garlic Salt,1/4 tsp (1 g),0.0,0.0
Herbs & Spices,Iodized Salt,1 tbsp (18 g),0.0,0.0
Herbs & Spices,Salt,1 tbsp (18 g),0.0,0.0
Herbs & Spices,Sea Salt,1 tbsp (18 g),0.0,0.0
Herbs & Spices,Stevia,1 tbsp (15 g),0.0,0.0
Non-Alcoholic Drinks & Beverages,Chai,1 cup (236 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Chai Tea,1 cup (236 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Evian,1 bottle (500 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Ginger Tea,1 cup (254 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Tap Water,1 fl. oz. (29.6 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Volvic,1/2 litre (500 ml),0.0,0.0
Non-Alcoholic Drinks & Beverages,Water,1 fl. oz. (29.6 ml),0.0,0.0
Soda & Soft Drinks,Coke Zero,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Diet Dr. Pepper,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Diet Pepsi,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Diet Sunkist,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Fanta Zero,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Fresca,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,Sprite Zero,12 fl. oz. (355 ml),0.0,0.0
Soda & Soft Drinks,TaB,12 fl. oz. (355 ml),0.0,0.0
